id_servicios,Cuestionario
10,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
11,"{""Pregunta_1"":""3"",""Pregunta_2"":""4"",""Pregunta_3"":""3"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""3"",""Pregunta_10"":""4"",""comentario"":""Estar mas al pendiente de los estudiantes tanto de forma acad\u00e9mica como de forma personal,y  avisar sobre eventos que sea importantes para la universidad""}"
12,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""3"",""Pregunta_6"":""4"",""Pregunta_7"":""3"",""Pregunta_8"":""3"",""Pregunta_9"":""3"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
13,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""3"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Una excelente universidad, muy amables todos , ojal\u00e1 siempre sean as\u00ed de accesibles :) ""}"
14,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
15,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""3"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
16,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Muy amables su atenci\u00f3n ""}"
17,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""3"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
18,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""1"",""Pregunta_9"":""3"",""Pregunta_10"":""3"",""comentario"":""Se necesita tener m\u00e1s empleados en estas \u00e1reas, ya que a pasado algunos peque\u00f1os problemas pero siempre dan soluci\u00f3n. Pero si se necesita m\u00e1s colaboradores en el resto de las \u00e1reas de la escuela ""}"
19,"{""Pregunta_1"":""3"",""Pregunta_2"":""3"",""Pregunta_3"":""3"",""Pregunta_4"":""2"",""Pregunta_5"":""3"",""Pregunta_6"":""3"",""Pregunta_7"":""2"",""Pregunta_8"":""3"",""Pregunta_9"":""2"",""Pregunta_10"":""3"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
