,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,comentario
0,3,4,3,4,4,4,4,4,3,4,"Estar mas al pendiente de los estudiantes tanto de forma académica como de forma personal,y  avisar sobre eventos que sea importantes para la universidad"
1,4,4,4,4,3,4,3,3,3,4, 
2,4,4,4,4,3,4,4,4,4,4,"Una excelente universidad, muy amables todos , ojalá siempre sean así de accesibles :) "
3,4,4,4,4,4,4,4,4,4,4, 
4,4,4,3,4,4,4,4,4,4,4, 
5,4,4,4,4,4,4,4,4,4,4,Muy amables su atención 
6,4,4,4,4,4,3,4,4,4,3, 
7,4,4,4,4,4,3,4,1,3,3,"Se necesita tener más empleados en estas áreas, ya que a pasado algunos pequeños problemas pero siempre dan solución. Pero si se necesita más colaboradores en el resto de las áreas de la escuela "
8,3,3,3,2,3,3,2,3,2,3, 
9,4,4,4,3,3,4,3,4,4,3,"El personal administrativo y de servicios siempre están al pendiente para resolver nuestras dudas, pero en algunas cosas no quedo conforme ya que no tenemos internet cuando necesitamos buscar algo de la clase y no tuvimos posada."
10,4,3,3,1,3,4,3,4,4,4,Solo llamo a la escuela y no está la persona que busco para preguntarle mi duda y tengo llamar más tarde pero resuelven mi duda.
11,4,4,4,4,4,4,4,4,4,4,Excelente atención 
12,4,4,4,4,4,4,4,4,4,4,Excelente trabajo que desarrolla cada uno en la universidad. 
13,4,4,4,4,4,4,4,4,4,4,Excelente trabajo el que desarrolla cada quien en la Universidad. 
14,4,4,4,3,4,4,4,4,4,4,"Tienen muy buen servicio al estudiante solo falta estar un poco más atentos al maestro que nos dejen tareas, que nos califiquen pero de ahí todo lo demás excelente."
15,4,4,4,4,4,4,4,4,4,4,Es un personal muy profesional y hasta ahorita están a la dispocicion de escuchar a los alumnos 
16,4,4,4,2,4,4,4,1,4,4, 
17,4,4,4,4,3,4,4,4,4,4,"El personal administrativo es amable, responsable con los alumnos y siempre estan atentos cuando requerimos comunicarnos con ellos."
18,4,4,4,4,4,3,4,4,4,4,Nunca he tenido ningun problema con lo administrativo ni su personal.
19,3,3,4,3,4,3,3,3,4,4, 
20,4,4,4,1,4,4,4,4,4,4, 
21,3,3,3,3,3,3,3,3,3,3, 
22,4,4,3,4,4,4,4,4,4,4, 
23,2,2,2,4,3,3,4,2,2,2, 
24,4,4,4,4,4,3,4,4,4,4, 
